STATION,INSTAP_WERK,UITSTAP_WERK,INSTAP_ZA,UITSTAP_ZA,INSTAP_ZO,UITSTAP_ZO
Aalten,661,651,243,256,206,140
Almelo,2942,3060,891,976,685,806
Almelo de Riet,467,432,182,160,124,114
Amersfoort Centraal,853625,771417,79303,69011,60785,50997
Apeldoorn,1546,1545,596,624,405,448
Apeldoorn De Maten,281,277,168,164,120,111
Arnhem Centraal,6086,5693,2892,3004,1847,2345
Arnhem Velperpoort,1299,1680,545,610,338,391
Barneveld Centrum,373549,370407,30028,29025,19443,17461
Barneveld Noord,109247,108584,7450,7661,6189,4432
Barneveld Zuid,95440,92540,7485,7136,4262,4094
Borne,844,841,430,422,378,275
Coevorden,787,786,323,326,253,185
Daarlerveen,77,76,20,19,16,11
Dalen,108,105,48,49,41,26
Dalfsen,663,659,354,338,263,201
Delden,339,340,184,177,140,102
Didam,970,942,405,375,263,219
Doetinchem,2175,2235,748,823,566,463
Doetinchem De Huet,678,669,276,279,215,163
Duiven,1487,1424,839,707,492,432
Ede Centrum,131155,124434,21432,22078,11582,11729
Ede-Wageningen,351734,325427,38284,32180,26226,30214
Elst,641,762,200,242,124,179
Emmen,983,999,502,543,434,378
Emmen Zuid,364,365,149,156,153,109
Enschede,3526,3473,1488,1331,994,1293
Enschede De Eschmarke,21,22,5,6,3,3
Enschede Kennispark,857,817,449,379,348,575
Gaanderen,218,211,105,99,76,56
Glanerburg,75,63,33,27,29,24
Goor,811,810,286,292,251,164
Gramsbergen,124,115,70,69,49,35
Hardenberg,1325,1346,412,437,313,232
Heino,321,322,157,159,141,111
Hemmen-Dodewaard,68,67,27,21,15,12
Hengelo,5444,5626,2157,2328,1800,1830
Hengelo Gezondheidspark,286,212,97,71,77,49
Hengelo Oost,180,151,115,99,75,67
Hoevelaken,155417,148163,11832,12018,9085,7562
Kampen,1974,1922,788,743,533,434
Kesteren,298,309,90,83,50,45
Klarenbeek,112,111,59,56,42,33
Lichtenvoorde-Groenlo,567,589,225,283,297,172
Lochem,498,501,221,239,233,150
Lunteren,101423,101019,14366,13519,8348,7571
Marienberg,247,244,117,125,95,62
Nieuw Amsterdam,294,301,125,131,123,71
Nijverdal,1379,1376,462,467,407,301
Oldenzaal,1006,1002,349,373,398,250
Ommen,792,812,368,382,329,213
Opheusden,170,164,68,55,35,31
Raalte,1020,1042,357,348,314,230
Ruurlo,525,520,204,224,213,134
Terborg,354,351,142,144,126,85
Tiel,520,531,222,228,145,120
Varsseveld,360,366,166,178,133,109
Voorst-Empe,151,150,75,74,51,52
Vorden,492,530,208,223,194,143
Vriezenveen,298,294,77,67,45,37
Vroomshoop,328,313,106,92,65,54
Wehl,374,371,152,148,115,87
Westervoort,651,629,319,268,204,190
Wierden,730,674,276,275,241,170
Winterswijk,926,920,365,383,285,214
Winterswijk West,190,207,66,81,72,55
Zetten-Andelst,325,317,151,136,98,84
Zevenaar,1720,1685,789,714,506,433
Zutphen,4008,3954,1982,1849,1466,1875
Zwolle,8518,8524,3628,3616,2749,3417
Zwolle Stadshagen,0,0,0,0,0,0
