STATION;GT;TENGR;TZUHO;TZWEN;TZWKA;Valleilijn;Vechtdal;TOTAAL
Aalten;848.0;;;;;;;848.0
Almelo;;;;2729.0;;;994.0;3723.0
Almelo de Riet;;;;527.0;;;;527.0
Amersfoort Centraal;;;;;;801328.0;;801328.0
Apeldoorn;1578.0;;;;;;;1578.0
Apeldoorn De Maten;305.0;;;;;;;305.0
Arnhem Centraal;5970.0;;;;;;;5970.0
Arnhem Velperpoort;1897.0;;;;;;;1897.0
Barneveld Centrum;;;;;;402854.0;;402854.0
Barneveld Noord;;;;;;132678.0;;132678.0
Barneveld Zuid;;;;;;102691.0;;102691.0
Borne;;;;915.0;;;;915.0
Coevorden;;;;;;;961.0;961.0
Daarlerveen;;;;;;;109.0;109.0
Dalen;;;;;;;154.0;154.0
Dalfsen;;;;;;;764.0;764.0
Delden;;;373.0;;;;;373.0
Didam;1065.0;;;;;;;1065.0
Doetinchem;2667.0;;;;;;;2667.0
Doetinchem De Huet;842.0;;;;;;;842.0
Duiven;1448.0;;;;;;;1448.0
Ede Centrum;;;;;;138749.0;;138749.0
Ede-Wageningen;;;;;;369460.0;;369460.0
Elst;819.0;;;;;;;819.0
Emmen;;;;;;;1285.0;1285.0
Emmen Zuid;;;;;;;404.0;404.0
Enschede;;169.0;;3997.0;;;;4166.0
Enschede De Eschmarke;;31.0;;;;;;31.0
Enschede Kennispark;;;;924.0;;;;924.0
Gaanderen;293.0;;;;;;;293.0
Glanerburg;;109.0;;;;;;109.0
Goor;;;933.0;;;;;933.0
Gramsbergen;;;;;;;152.0;152.0
Hardenberg;;;;;;;1632.0;1632.0
Heino;;;;339.0;;;;339.0
Hemmen-Dodewaard;83.0;;;;;;;83.0
Hengelo;;;3008.0;3820.0;;;;6828.0
Hengelo Gezondheidspark;;;250.0;;;;;250.0
Hengelo Oost;;;249.0;;;;;249.0
Hoevelaken;;;;;;138661.0;;138661.0
Kampen;;;;;2224.0;;;2224.0
Kesteren;396.0;;;;;;;396.0
Klarenbeek;101.0;;;;;;;101.0
Lichtenvoorde-Groenlo;712.0;;;;;;;712.0
Lochem;;;606.0;;;;;606.0
Lunteren;;;;;;108698.0;;108698.0
Marienberg;;;;;;;292.0;292.0
Nieuw Amsterdam;;;;;;;356.0;356.0
Nijverdal;;;;1563.0;;;;1563.0
Oldenzaal;;;1309.0;;;;;1309.0
Ommen;;;;;;;979.0;979.0
Opheusden;215.0;;;;;;;215.0
Raalte;;;;1214.0;;;;1214.0
Ruurlo;606.0;;;;;;;606.0
Terborg;471.0;;;;;;;471.0
Tiel;706.0;;;;;;;706.0
Varsseveld;520.0;;;;;;;520.0
Voorst-Empe;172.0;;;;;;;172.0
Vorden;579.0;;;;;;;579.0
Vriezenveen;;;;;;;318.0;318.0
Vroomshoop;;;;;;;414.0;414.0
Wehl;450.0;;;;;;;450.0
Westervoort;666.0;;;;;;;666.0
Wierden;;;;823.0;;;;823.0
Winterswijk;1248.0;;;;;;;1248.0
Winterswijk West;256.0;;;;;;;256.0
Zetten-Andelst;396.0;;;;;;;396.0
Zevenaar;1884.0;;;;;;;1884.0
Zutphen;2958.0;;1538.0;;;;;4496.0
Zwolle;;;;4064.0;2369.0;;3683.0;10116.0
Zwolle Stadshagen;;;;;598.0;;;598.0
