MAAND,INSTAP_WERK,UITSTAP_WERK,INSTAP_ZA,UITSTAP_ZA,INSTAP_ZO,UITSTAP_ZO
01,0.08716798881467051,0.08766428312061907,0.08636532132145626,0.08589942010185143,0.06960885965637663,0.0696170778069066
02,0.0732569660159145,0.07762605998940171,0.05818159352077553,0.07403173706146407,0.06943711157900094,0.08606739826310619
03,0.09691191613925881,0.09733939292070144,0.07707558720780024,0.07668398440761125,0.08085517820453288,0.07901524198506187
04,0.08665281085600532,0.08639082028969515,0.10769127079518775,0.10689905405318623,0.09433422175857309,0.09366365878304374
05,0.06994850047285542,0.06972481655078262,0.1060568617098952,0.10133768310460643,0.1402482077770074,0.1388313771490351
06,0.089147709315404,0.08917704148601885,0.07126248272918234,0.07035198469017513,0.06649831114390581,0.06572355264738512
07,0.05931366847506715,0.058012807764209855,0.06830819001830987,0.06832908417192728,0.062077388411457504,0.06107393458029777
08,0.054664278741723506,0.052779100069158334,0.09255473304651607,0.09115896144929583,0.07517476957132953,0.07336221090045719
09,0.10408056262791911,0.1035649260750015,0.08883659279062714,0.08649023549130795,0.08202560954664868,0.08059809068875118
10,0.09828937777342035,0.0974619276313848,0.11529043056288825,0.11223565827751626,0.08663736347618109,0.08276744136746822
11,0.09604963246376247,0.09649576389165108,0.0722453747907844,0.07042262566065362,0.0770703594623649,0.0755527604457415
12,0.08451658830399884,0.08376306021137558,0.05613156150657695,0.05615957153040452,0.09603261941262158,0.09372725538274554
